ATCOCode	CommonName	Lon	Lat	NatGazLocality
45026125	Stand A Ossett Bus Station	-1.57852	53.68078	Ossett
45026126	Stand B Ossett Bus Station	-1.57846	53.68075	Ossett
45026127	Stand C Ossett Bus Station	-1.57838	53.68072	Ossett
45026128	Stand D Ossett Bus Station	-1.57832	53.6807	Ossett
45026129	Stand E Ossett Bus Station	-1.57824	53.68067	Ossett
45026130	Stand F Ossett Bus Station	-1.57818	53.68064	Ossett
45030000	Stand Set Down Only Bradford Interchange	-1.75046	53.79121	Bradford City Centre
45030001	Stand 1 Bradford Interchange	-1.75016	53.79125	Bradford City Centre
45030002	Stand 2 Bradford Interchange	-1.75025	53.79124	Bradford City Centre
45030003	Stand 3 Bradford Interchange	-1.75032	53.79123	Bradford City Centre
45030004	Stand 4 Bradford Interchange	-1.7504	53.79122	Bradford City Centre
45030005	Stand A Bradford Interchange	-1.75057	53.7912	Bradford City Centre
45030006	Stand B Bradford Interchange	-1.75066	53.79119	Bradford City Centre
45030007	Stand C Bradford Interchange	-1.75073	53.79117	Bradford City Centre
45030008	Stand D Bradford Interchange	-1.75081	53.79116	Bradford City Centre
45030009	Stand E Bradford Interchange	-1.7509	53.79115	Bradford City Centre
45030010	Stand F Bradford Interchange	-1.75099	53.79114	Bradford City Centre
45030011	Stand G Bradford Interchange	-1.75107	53.79112	Bradford City Centre
45030012	Stand H Bradford Interchange	-1.75114	53.79112	Bradford City Centre
45030013	Stand J Bradford Interchange	-1.75126	53.7911	Bradford City Centre
45030014	Stand K Bradford Interchange	-1.75137	53.79108	Bradford City Centre
45030015	Stand L Bradford Interchange	-1.75149	53.79106	Bradford City Centre
45030016	Stand M Bradford Interchange	-1.7516	53.79104	Bradford City Centre
45030017	Stand N Bradford Interchange	-1.75172	53.79104	Bradford City Centre
45030018	Stand P Bradford Interchange	-1.75181	53.79102	Bradford City Centre
45030019	Stand Q Bradford Interchange	-1.7519	53.79101	Bradford City Centre
45030020	Stand R Bradford Interchange	-1.75199	53.79099	Bradford City Centre
45030021	Stand S Bradford Interchange	-1.7521	53.79092	Bradford City Centre
45030022	Stand T Bradford Interchange	-1.75157	53.79086	Bradford City Centre
45030023	Stand U Bradford Interchange	-1.75101	53.79094	Bradford City Centre
45030024	Stand V Bradford Interchange	-1.75051	53.79102	Bradford City Centre
45030025	Stand W Bradford Interchange	-1.75023	53.79105	Bradford City Centre
45030026	Stand X Bradford Interchange	-1.75002	53.79108	Bradford City Centre
45030027	Stand Y Bradford Interchange	-1.75002	53.79116	Bradford City Centre
45030028	Stand Z Bradford Interchange	-1.75009	53.79135	Bradford City Centre
45030031	B17	-1.7514	53.79098	Bradford City Centre
45030032	B16	-1.75154	53.79096	Bradford City Centre
45030033	B15	-1.75168	53.79095	Bradford City Centre
45030034	B14	-1.75181	53.79092	Bradford City Centre
45030035	B13	-1.75193	53.79091	Bradford City Centre
45030036	B1	-1.75035	53.79123	Bradford City Centre
45030037	B2	-1.75047	53.7912	Bradford City Centre
45030038	B3	-1.75063	53.79119	Bradford City Centre
45030039	B4	-1.75078	53.79116	Bradford City Centre
45030040	B5	-1.75093	53.79114	Bradford City Centre
45030041	B6	-1.75113	53.79111	Bradford City Centre
45030042	B7	-1.7513	53.79109	Bradford City Centre
45030043	B8	-1.75143	53.79107	Bradford City Centre
45030044	B9	-1.75157	53.79104	Bradford City Centre
45030045	B10	-1.75171	53.79103	Bradford City Centre
45030046	B11	-1.75186	53.79101	Bradford City Centre
45030047	B12	-1.75196	53.79099	Bradford City Centre
45030048	A24	-1.7504	53.79138	Bradford City Centre
45030049	A23	-1.75053	53.79137	Bradford City Centre
